nom,diplome,statut,ville,nombre_etoiles,nombre_commentaires,classement,mention,specialite,adresse,taux_reussite_bac,taux_mentions_bac,effectifs_terminale,classement_lycees_generaux_technos,classement_lycees_pros
Lycée Pierre et Marie Curie,Public,Général,Menton,3.0,(11),41.0,47.0,10.0,Menton 353 avenue du Doyen Jean Lépine 06500 Menton,88.0,47.0,299.0,8.0,10.2
Lycée Thomas Hélye,Privé,Général,Cherbourg-en-Cotentin,4.2,(13),23.0,76.0,8.0,Cherbourg-en-Cotentin 87 rue Emmanuel Liais 50100 Cherbourg-en-Cotentin,98.0,76.0,196.0,10.3,8.7
Lycée Curie-Corot,Public,Polyvalent,Saint-Lô,2.4,(19),12.0,56.0,6.0,Saint-Lô 377 rue de l'Exode BP 290 50010 Saint-Lô,92.0,56.0,313.0,12.9,13.0
Lycée privé Notre-Dame des Anges,Privé,Général,Belfort,3.5,(4),6.0,45.0,7.0,Belfort 46 bis faubourg de Montbéliard 90000 Belfort,84.0,45.0,48.0,10.8,7.6
Lycée du Parc Impérial,Public,Général,Nice,3.1,(30),12.0,51.0,12.0,Nice 2 avenue Paul Arène 06000 Nice,90.0,51.0,521.0,13.0,14.6
Lycée Victor Grignard,Public,Général,Cherbourg-en-Cotentin,3.5,(12),9.0,68.0,8.0,Cherbourg-en-Cotentin 12 rue Guillaume Fouace BP 307 50100 Cherbourg-en-Cotentin,93.0,68.0,218.0,12.3,13.3
Lycée Plaine de Neauphle,Public,Général,Trappes,4.5,(5),20.0,38.0,9.0,Trappes 3 place Naguib Mahfouz 78190 Trappes,81.0,38.0,189.0,11.3,14.1
Lycée Robert de Mortain,Public,Polyvalent,Mortain-Bocage,3.3,(1),4.0,65.0,7.0,Mortain-Bocage 30 rue 30e Division américaine 50140 Mortain-Bocage,96.0,65.0,131.0,11.9,14.6
Lycée Alexis de Tocqueville,Public,Polyvalent,Cherbourg-en-Cotentin,4.0,(7),8.0,54.0,9.0,Cherbourg-en-Cotentin 34 avenue Henri Poincaré BP 308 50100 Cherbourg-en-Cotentin,94.0,54.0,304.0,11.3,14.1
Lycée Jean-François Millet,Public,Général,Cherbourg-en-Cotentin,4.0,(13),2.0,64.0,12.0,Cherbourg-en-Cotentin 1 rue de Bougainville BP 79 50130 Cherbourg-en-Cotentin,95.0,64.0,341.0,15.1,13.8
